Cliente_ID,Idade,Renda_Mensal,Score_Credito,Produto,Valor_Operacao,Estado,Status,Data_Operacao,Canal,Tempo_Relacionamento_Meses
10065,53,6912.88,731,Empréstimo Pessoal,42645.37,SP,Adimplente,2023-04-12,Correspondente Bancário,54
10066,67,3750.42,850,Investimento,25224.48,PR,Adimplente,2023-11-03,Correspondente Bancário,89
10067,57,6655.7,461,Empréstimo Pessoal,52030.91,GO,Adimplente,2023-12-14,Digital,67
10068,21,4985.91,850,Previdência,1876.21,SP,Adimplente,2022-05-17,Agência,103
10069,19,7624.82,712,Previdência,1925.06,PR,Adimplente,2023-09-20,Telefone,105
10070,23,7231.8,805,Seguro,1845.81,SC,Adimplente,2023-05-02,Correspondente Bancário,58
10071,59,3701.47,850,Consignado,42753.72,BA,Adimplente,2023-10-04,Telefone,31
10072,21,6895.65,796,Consignado,25020.3,RJ,Adimplente,2023-07-08,Telefone,11
10073,46,6364.07,633,Financiamento Veicular,60106.74,SP,Adimplente,2022-03-07,Correspondente Bancário,54
10074,35,1000.0,833,Seguro,1123.66,RJ,Adimplente,2023-03-07,Correspondente Bancário,50
10075,43,6601.87,688,Empréstimo Pessoal,32012.62,SC,Adimplente,2022-11-02,Correspondente Bancário,97
10076,61,4136.41,814,Seguro,1307.33,SC,Adimplente,2023-09-10,Correspondente Bancário,115
10077,51,3227.92,830,Investimento,22355.96,MG,Adimplente,2022-12-11,Telefone,86
10078,27,3313.48,486,Seguro,1879.31,PR,Adimplente,2023-07-01,Correspondente Bancário,4
10079,53,4729.51,769,Seguro,625.92,RS,Adimplente,2023-04-18,Digital,24
10080,31,5960.12,623,Empréstimo Pessoal,13403.54,SP,Adimplente,2023-01-24,Telefone,36
10081,48,2269.08,671,Seguro,1205.46,SP,Adimplente,2022-02-23,Digital,45
10082,65,5379.7,669,Investimento,37957.43,PR,Adimplente,2022-07-24,Digital,108
10083,32,6153.52,663,Empréstimo Pessoal,8640.81,RS,Adimplente,2023-08-01,Agência,28
10084,25,8723.61,850,Previdência,751.68,PR,Adimplente,2022-04-28,Telefone,100
10085,31,2846.62,445,Financiamento Veicular,52614.51,CE,Adimplente,2023-08-13,Digital,87
10086,40,4300.78,392,Seguro,613.99,RJ,Adimplente,2023-10-05,Agência,32
10087,57,5523.33,360,Cartão de Crédito,1483.79,PR,Adimplente,2022-05-04,Telefone,102
10088,38,7294.82,810,Empréstimo Pessoal,48595.26,RJ,Adimplente,2023-10-26,Correspondente Bancário,44
10089,33,4391.55,534,Empréstimo Pessoal,5529.26,SC,Adimplente,2023-10-13,Correspondente Bancário,115
10090,62,7397.28,670,Previdência,764.21,PR,Adimplente,2023-10-29,Correspondente Bancário,35
10091,35,1125.28,633,Previdência,983.46,MG,Adimplente,2022-03-30,Telefone,36
10092,64,2493.3,517,Previdência,1354.77,SP,Adimplente,2022-12-11,Correspondente Bancário,4
10093,41,5697.29,778,Previdência,1231.32,SC,Adimplente,2022-09-22,Agência,44
10094,43,2178.35,631,Consignado,18604.83,GO,Adimplente,2022-07-15,Telefone,11
10095,42,2651.06,614,Investimento,28203.63,PR,Adimplente,2023-05-03,Correspondente Bancário,83
10096,62,3944.45,685,Previdência,639.58,MG,Adimplente,2023-12-10,Digital,32
10097,58,6542.88,758,Consignado,46974.02,PR,Adimplente,2023-03-12,Telefone,96
10098,46,1208.07,506,Conta Corrente,270.92,RJ,Adimplente,2022-05-04,Correspondente Bancário,93
10099,32,5340.6,781,Investimento,10385.51,RJ,Adimplente,2022-10-11,Agência,93
10100,62,7065.93,850,Consignado,32102.6,CE,Adimplente,2022-11-06,Agência,2
10101,18,4610.11,436,Financiamento Veicular,50968.33,SP,Adimplente,2022-05-10,Digital,82
10102,42,4262.34,692,Previdência,1361.1,SP,Adimplente,2023-03-28,Digital,44
10103,24,5803.54,604,Financiamento Veicular,76169.13,CE,Adimplente,2022-03-08,Telefone,52
10104,26,4615.78,755,Previdência,727.59,SP,Adimplente,2022-11-08,Digital,11
10105,41,7781.0,468,Investimento,30709.56,SP,Adimplente,2022-08-20,Correspondente Bancário,100
10106,18,2777.17,850,Seguro,946.03,MG,Adimplente,2023-03-16,Correspondente Bancário,40
10107,61,4896.71,409,Empréstimo Pessoal,46453.17,RS,Adimplente,2022-08-05,Digital,34
10108,25,5411.37,613,Cartão de Crédito,1120.11,SP,Adimplente,2023-02-23,Agência,58
10109,41,4243.09,715,Previdência,932.16,SP,Adimplente,2023-04-10,Agência,10
10110,28,1000.0,547,Investimento,21831.81,PE,Adimplente,2023-10-26,Agência,20
10111,68,4678.19,523,Consignado,5125.33,SC,Adimplente,2023-09-02,Digital,96
10112,34,6800.35,683,Consignado,70560.13,RJ,Adimplente,2022-10-06,Correspondente Bancário,65
10113,25,6556.22,662,Previdência,1834.13,RJ,Adimplente,2023-09-11,Digital,33
10114,52,5709.56,651,Empréstimo Pessoal,57071.58,SP,Adimplente,2022-10-03,Digital,74
10115,52,2804.28,779,Empréstimo Pessoal,13723.64,BA,Adimplente,2022-10-12,Agência,24
10116,50,5790.62,591,Seguro,1953.58,RS,Adimplente,2023-02-23,Correspondente Bancário,43
10117,22,3853.12,698,Conta Corrente,329.8,PR,Adimplente,2022-10-23,Agência,85
10118,59,5706.97,574,Seguro,1182.24,SC,Adimplente,2022-11-28,Digital,15
10119,56,5243.01,523,Seguro,1486.49,GO,Adimplente,2023-02-28,Digital,7
10120,58,3047.25,607,Investimento,31645.03,MG,Adimplente,2022-07-28,Correspondente Bancário,35
10121,45,3215.09,575,Financiamento Veicular,72255.03,PE,Adimplente,2022-01-30,Correspondente Bancário,81
10122,24,5710.04,583,Investimento,27991.11,PR,Adimplente,2022-04-06,Telefone,29
10123,26,4557.77,825,Cartão de Crédito,1061.78,MG,Adimplente,2022-10-26,Digital,66
10124,25,3319.44,612,Consignado,48827.66,RJ,Adimplente,2023-07-19,Correspondente Bancário,19
10125,29,3154.34,551,Seguro,1796.04,SP,Adimplente,2023-03-01,Agência,44
10126,51,4392.34,654,Consignado,48109.87,SC,Adimplente,2023-08-17,Telefone,85
10127,50,8136.21,666,Previdência,1307.87,GO,Adimplente,2023-07-20,Correspondente Bancário,98
10128,65,3947.84,472,Seguro,1804.4,MG,Adimplente,2022-09-02,Telefone,74
10129,40,4971.96,605,Seguro,565.47,SP,Adimplente,2023-12-24,Correspondente Bancário,117
10130,41,5203.29,599,Seguro,1242.99,RJ,Inadimplente,2023-05-30,Agência,76
10131,54,2737.95,624,Conta Corrente,99.71,GO,Adimplente,2022-01-16,Correspondente Bancário,93
10132,52,1474.34,759,Financiamento Veicular,19863.84,RJ,Adimplente,2022-09-29,Agência,44
10133,61,2946.72,671,Seguro,1778.51,PR,Adimplente,2023-01-25,Telefone,41
10134,57,5494.15,834,Previdência,1426.19,GO,Adimplente,2023-12-02,Digital,118
10135,39,5174.66,648,Consignado,34250.86,CE,Adimplente,2023-10-11,Digital,91
10136,44,6404.81,850,Cartão de Crédito,1784.17,MG,Adimplente,2022-02-27,Telefone,38
10137,52,5193.5,581,Conta Corrente,244.2,RJ,Adimplente,2023-11-30,Agência,102
10138,18,4780.9,535,Financiamento Veicular,54616.97,SP,Adimplente,2023-12-01,Digital,31
10139,52,3791.98,732,Previdência,848.28,GO,Adimplente,2023-04-16,Agência,33
10140,54,6769.21,850,Empréstimo Pessoal,61103.58,GO,Adimplente,2022-06-11,Correspondente Bancário,10
10141,64,3161.64,443,Previdência,1458.41,PE,Adimplente,2022-09-14,Telefone,59
10142,31,2779.2,620,Consignado,35720.53,SP,Adimplente,2023-01-26,Correspondente Bancário,74
10143,20,6134.11,558,Conta Corrente,21.94,RS,Adimplente,2023-02-10,Telefone,36
10144,18,2333.69,671,Empréstimo Pessoal,21340.32,RS,Adimplente,2022-10-21,Digital,100
10145,22,9829.58,652,Investimento,11731.22,RS,Adimplente,2022-09-14,Telefone,87
10146,43,5159.99,850,Financiamento Veicular,35080.64,RS,Adimplente,2023-08-17,Digital,47
10147,31,5695.81,634,Financiamento Veicular,36236.74,SP,Adimplente,2022-07-25,Telefone,17
10148,56,3383.16,850,Conta Corrente,830.47,MG,Adimplente,2023-05-09,Telefone,104
10149,44,4369.47,603,Consignado,52906.82,BA,Adimplente,2022-03-19,Telefone,19
10150,26,4146.49,789,Investimento,48396.22,GO,Adimplente,2023-01-10,Correspondente Bancário,12
10151,32,3916.33,684,Seguro,1182.18,SP,Adimplente,2023-11-20,Digital,34
10152,32,6265.92,850,Seguro,662.52,SC,Adimplente,2022-01-26,Telefone,80
10153,43,4100.85,428,Conta Corrente,647.65,PE,Adimplente,2023-04-21,Agência,117
10154,59,7035.0,475,Consignado,15610.2,PR,Adimplente,2022-11-08,Digital,64
10155,30,10326.36,850,Cartão de Crédito,1509.67,SP,Adimplente,2023-12-15,Agência,70
10156,68,4408.92,540,Seguro,1828.12,RS,Adimplente,2023-05-17,Agência,79
10157,49,5304.63,550,Seguro,549.07,PE,Adimplente,2023-03-31,Telefone,57
10158,56,5758.96,519,Investimento,49065.46,SC,Adimplente,2023-10-23,Digital,46
10159,66,8623.01,822,Empréstimo Pessoal,83520.37,RJ,Adimplente,2023-04-11,Agência,12
10160,69,4834.7,462,Investimento,3478.35,RS,Adimplente,2022-05-09,Digital,101
10161,49,3341.97,653,Investimento,29732.77,SP,Adimplente,2022-08-27,Agência,43
10162,21,2467.32,610,Financiamento Veicular,33022.86,BA,Adimplente,2022-05-14,Digital,70
10163,47,4884.03,805,Consignado,48768.34,BA,Adimplente,2022-01-16,Digital,46
10164,54,4103.24,565,Investimento,9538.06,RS,Inadimplente,2023-03-08,Digital,68
10165,40,9020.02,712,Cartão de Crédito,1488.9,BA,Adimplente,2023-08-31,Correspondente Bancário,14
10166,56,8539.72,474,Previdência,1590.86,MG,Adimplente,2023-11-06,Digital,67
10167,62,2931.25,850,Consignado,3613.6,MG,Adimplente,2023-02-16,Digital,55
10168,32,3578.48,614,Cartão de Crédito,542.15,MG,Adimplente,2023-09-15,Correspondente Bancário,19
10169,60,5147.54,651,Cartão de Crédito,897.76,SP,Adimplente,2022-10-29,Telefone,59
10170,46,7794.45,850,Seguro,1779.19,SP,Adimplente,2023-07-19,Digital,93
10171,53,5114.03,562,Investimento,21276.86,RJ,Adimplente,2023-02-13,Agência,54
10172,30,3705.52,850,Cartão de Crédito,906.82,SP,Adimplente,2022-06-06,Telefone,88
10173,49,4882.24,588,Previdência,639.85,SP,Adimplente,2023-01-17,Digital,104
10174,24,3743.03,751,Financiamento Veicular,58550.86,MG,Adimplente,2023-11-13,Telefone,97
10175,68,6204.95,564,Seguro,1952.6,GO,Adimplente,2022-12-27,Digital,14
10176,39,3581.93,447,Investimento,11988.0,SP,Inadimplente,2023-07-24,Correspondente Bancário,48
10177,45,3979.13,712,Cartão de Crédito,1060.0,BA,Adimplente,2023-09-29,Agência,79
10178,19,7323.87,746,Empréstimo Pessoal,3091.54,RS,Adimplente,2022-11-13,Telefone,118
10179,59,3463.27,453,Conta Corrente,869.86,RJ,Adimplente,2023-02-15,Agência,9
10180,62,2107.74,604,Financiamento Veicular,20964.25,BA,Adimplente,2023-01-21,Digital,54
10181,23,5189.99,830,Previdência,967.46,RJ,Adimplente,2023-08-05,Telefone,77
10182,45,4279.05,740,Cartão de Crédito,623.36,GO,Adimplente,2023-11-22,Agência,11
10183,45,6022.83,591,Consignado,44390.21,MG,Adimplente,2022-10-07,Correspondente Bancário,28
10184,61,5634.94,560,Cartão de Crédito,837.2,RJ,Adimplente,2023-05-14,Digital,68
10185,61,4936.16,850,Consignado,72906.32,SP,Adimplente,2022-07-29,Correspondente Bancário,39
10186,37,4877.91,433,Investimento,15182.91,BA,Inadimplente,2023-05-25,Telefone,96
10187,47,3528.28,641,Seguro,1298.87,SP,Adimplente,2023-07-27,Correspondente Bancário,107
10188,28,5166.69,430,Conta Corrente,436.22,SP,Adimplente,2022-03-21,Digital,111
10189,45,6762.57,847,Conta Corrente,709.5,RS,Adimplente,2022-04-28,Correspondente Bancário,52
10190,42,3053.11,649,Empréstimo Pessoal,24663.9,CE,Adimplente,2023-12-08,Agência,118
10191,56,4989.21,677,Conta Corrente,243.32,SP,Adimplente,2023-06-21,Digital,11
10192,50,7076.78,850,Seguro,832.36,GO,Adimplente,2022-03-20,Telefone,66
10193,18,6010.85,561,Cartão de Crédito,1680.65,MG,Adimplente,2023-10-23,Agência,105
10194,44,7618.95,850,Financiamento Veicular,31637.93,SP,Adimplente,2022-06-06,Agência,98
10195,69,3863.72,591,Cartão de Crédito,805.8,SP,Adimplente,2023-08-17,Correspondente Bancário,58
10196,30,1338.46,615,Conta Corrente,150.96,GO,Adimplente,2023-03-29,Telefone,81
10197,58,5401.3,850,Consignado,29162.26,BA,Adimplente,2023-04-18,Digital,58
10198,20,5725.14,626,Empréstimo Pessoal,5316.23,SP,Adimplente,2022-04-03,Telefone,79
10199,56,7736.84,444,Seguro,1174.6,MG,Adimplente,2023-10-30,Digital,25
10200,23,7376.29,692,Conta Corrente,957.72,RS,Adimplente,2022-12-18,Agência,92
10201,25,6073.49,624,Cartão de Crédito,551.75,MG,Adimplente,2023-03-26,Agência,68
10202,44,6530.78,705,Financiamento Veicular,40182.08,RJ,Adimplente,2023-11-27,Telefone,77
10203,26,4616.36,630,Empréstimo Pessoal,3976.81,BA,Adimplente,2023-11-26,Telefone,50
10204,54,2561.77,850,Consignado,13476.59,SP,Adimplente,2022-05-25,Agência,118
10205,50,5235.44,734,Conta Corrente,128.95,SP,Adimplente,2022-03-28,Correspondente Bancário,40
10206,68,6965.15,489,Seguro,1719.78,PR,Adimplente,2023-12-03,Telefone,117
10207,59,6312.72,669,Cartão de Crédito,1208.74,PR,Adimplente,2022-11-13,Correspondente Bancário,24
10208,61,6667.61,530,Investimento,10408.26,RJ,Adimplente,2022-06-08,Correspondente Bancário,10
10209,41,4144.49,613,Consignado,32054.02,SC,Adimplente,2023-06-24,Digital,5
10210,32,4468.91,513,Conta Corrente,597.25,GO,Adimplente,2022-07-05,Agência,107
10211,49,5966.85,850,Financiamento Veicular,41705.81,PR,Adimplente,2022-09-01,Digital,57
10212,49,3906.99,546,Consignado,14479.69,BA,Adimplente,2023-04-26,Correspondente Bancário,116
10213,41,3968.57,753,Investimento,23622.32,RJ,Adimplente,2023-01-27,Correspondente Bancário,65
10214,58,5595.96,601,Seguro,1701.89,CE,Adimplente,2022-09-14,Agência,7
10215,69,6521.81,476,Previdência,1567.1,GO,Adimplente,2022-05-08,Digital,37
10216,66,4600.94,680,Cartão de Crédito,895.53,BA,Adimplente,2023-03-24,Telefone,12
10217,66,2673.62,710,Investimento,46593.12,SC,Adimplente,2023-02-10,Telefone,65
10218,69,3528.39,734,Conta Corrente,374.91,SP,Adimplente,2022-04-12,Digital,108
10219,29,5407.34,300,Conta Corrente,38.3,BA,Adimplente,2023-04-29,Agência,90
10220,56,5383.04,465,Financiamento Veicular,44159.1,BA,Inadimplente,2022-03-23,Correspondente Bancário,3
10221,19,5482.48,794,Consignado,45583.29,SP,Adimplente,2023-06-25,Agência,55
10222,20,6042.59,511,Cartão de Crédito,895.34,BA,Inadimplente,2023-03-06,Agência,82
10223,66,5011.62,680,Previdência,1395.11,SP,Adimplente,2023-06-12,Correspondente Bancário,74
10224,54,5530.11,461,Investimento,22032.71,PR,Adimplente,2022-09-04,Telefone,74
10225,66,4909.95,760,Seguro,1285.23,SP,Adimplente,2023-06-23,Digital,70
10226,34,7297.47,790,Empréstimo Pessoal,4133.38,RJ,Adimplente,2023-01-18,Correspondente Bancário,33
10227,66,7864.68,760,Empréstimo Pessoal,27772.82,RJ,Adimplente,2023-10-06,Digital,14
10228,19,2621.98,805,Conta Corrente,546.01,SP,Adimplente,2022-06-29,Telefone,107
10229,19,4489.5,850,Previdência,1447.6,CE,Adimplente,2022-03-06,Correspondente Bancário,92
10230,45,5065.45,474,Previdência,565.71,SP,Adimplente,2022-02-12,Agência,41
10231,40,4466.17,532,Consignado,17716.82,MG,Adimplente,2022-07-15,Correspondente Bancário,37
10232,54,8585.85,785,Conta Corrente,865.8,GO,Adimplente,2022-05-08,Digital,103
10233,49,5447.91,820,Conta Corrente,743.31,RJ,Adimplente,2023-01-31,Correspondente Bancário,44
10234,50,3389.26,549,Financiamento Veicular,38877.55,MG,Adimplente,2022-10-01,Correspondente Bancário,103
10235,18,6192.88,538,Cartão de Crédito,1084.71,PR,Adimplente,2022-07-04,Digital,70
10236,36,5541.95,552,Consignado,27931.81,RJ,Adimplente,2023-04-02,Digital,78
10237,19,5608.39,409,Seguro,1027.32,SP,Inadimplente,2022-12-28,Correspondente Bancário,79
10238,61,8615.75,459,Seguro,612.56,SP,Adimplente,2023-01-08,Digital,66
10239,43,5701.57,463,Financiamento Veicular,70163.51,PE,Adimplente,2023-03-25,Agência,5
10240,49,4392.68,606,Financiamento Veicular,38539.79,SP,Adimplente,2022-02-03,Telefone,78
10241,23,1089.45,691,Financiamento Veicular,39180.87,PR,Adimplente,2023-08-11,Telefone,18
10242,49,4669.2,715,Conta Corrente,249.61,RJ,Adimplente,2022-07-10,Telefone,64
10243,21,7611.94,574,Seguro,892.67,GO,Adimplente,2023-04-02,Digital,28
10244,28,4817.66,577,Consignado,15265.69,PR,Adimplente,2022-03-17,Correspondente Bancário,58
10245,34,1000.0,669,Financiamento Veicular,79822.06,GO,Adimplente,2022-11-24,Correspondente Bancário,86
10246,55,4003.28,426,Conta Corrente,891.33,PR,Adimplente,2023-12-30,Telefone,91
10247,41,6985.38,794,Financiamento Veicular,22888.56,BA,Adimplente,2022-05-23,Agência,31
10248,22,6091.63,843,Previdência,1201.11,SP,Adimplente,2022-05-13,Telefone,79
10249,69,3320.24,556,Cartão de Crédito,995.87,SP,Adimplente,2023-06-23,Correspondente Bancário,53
10250,51,3869.43,590,Seguro,687.99,SC,Adimplente,2022-03-17,Digital,58
10251,23,4178.58,836,Previdência,692.5,PR,Adimplente,2023-07-19,Telefone,82
10252,39,3674.57,632,Financiamento Veicular,43120.19,BA,Adimplente,2022-02-26,Agência,107
10253,28,1000.0,738,Cartão de Crédito,467.07,MG,Adimplente,2023-12-28,Telefone,29
10254,65,6527.18,636,Conta Corrente,845.93,PE,Adimplente,2023-10-13,Telefone,71
10255,33,7514.12,850,Consignado,69638.89,SP,Adimplente,2023-10-19,Telefone,22
10256,50,1963.1,724,Financiamento Veicular,69764.45,SP,Adimplente,2022-01-30,Telefone,11
10257,26,7487.71,732,Empréstimo Pessoal,49103.57,PE,Adimplente,2023-03-03,Telefone,80
10258,23,4793.95,735,Empréstimo Pessoal,31130.83,MG,Adimplente,2022-09-08,Telefone,104
10259,33,7450.26,567,Seguro,1532.92,SP,Adimplente,2023-03-02,Digital,62
10260,46,5075.9,581,Previdência,968.87,SP,Adimplente,2022-12-20,Agência,52
10261,20,5271.09,765,Financiamento Veicular,35742.53,BA,Adimplente,2022-10-01,Digital,58
10262,37,5744.87,669,Investimento,15220.39,SP,Adimplente,2023-09-23,Digital,54
10263,53,3419.87,473,Investimento,40860.41,CE,Adimplente,2022-11-17,Agência,25
10264,36,7389.35,850,Financiamento Veicular,47419.38,MG,Adimplente,2022-01-24,Correspondente Bancário,12
10265,43,2757.24,797,Seguro,822.72,MG,Adimplente,2022-02-21,Agência,37
10266,20,4195.87,656,Previdência,928.62,RS,Adimplente,2022-04-21,Correspondente Bancário,56
10267,36,6048.53,609,Financiamento Veicular,64650.69,GO,Adimplente,2023-02-15,Telefone,7
10268,37,3981.61,680,Investimento,4603.06,RJ,Adimplente,2023-07-18,Telefone,36
10269,49,6555.06,728,Cartão de Crédito,1077.67,SP,Adimplente,2022-12-14,Digital,72
10270,24,7751.73,345,Conta Corrente,602.46,BA,Adimplente,2022-02-11,Agência,6
10271,69,7025.09,850,Empréstimo Pessoal,56675.38,SP,Adimplente,2022-06-02,Telefone,78
10272,58,1127.77,532,Financiamento Veicular,25562.63,RJ,Adimplente,2022-11-03,Telefone,76
10273,50,5251.69,650,Conta Corrente,708.74,MG,Adimplente,2022-01-18,Correspondente Bancário,48
10274,57,7057.37,655,Conta Corrente,583.7,PR,Adimplente,2023-12-06,Correspondente Bancário,81
10275,56,2366.5,850,Empréstimo Pessoal,22918.68,RS,Adimplente,2023-08-16,Telefone,74
10276,35,6447.22,637,Investimento,9355.09,PR,Adimplente,2023-09-27,Correspondente Bancário,100
10277,57,6334.92,850,Seguro,547.36,SP,Adimplente,2022-04-23,Agência,25
10278,18,2575.82,711,Empréstimo Pessoal,4749.17,RJ,Adimplente,2023-02-25,Correspondente Bancário,65
10279,28,6668.47,506,Previdência,1558.66,GO,Adimplente,2023-07-29,Digital,42
10280,45,5545.4,670,Previdência,1935.03,MG,Adimplente,2023-06-30,Telefone,44
10281,42,6300.76,632,Conta Corrente,610.08,PR,Adimplente,2022-09-10,Telefone,36
10282,67,3067.38,487,Consignado,35711.04,SP,Adimplente,2023-12-08,Telefone,91
10283,40,5300.27,704,Previdência,1340.73,RJ,Adimplente,2022-10-08,Telefone,37
10284,48,1590.24,653,Cartão de Crédito,479.46,RS,Adimplente,2022-12-20,Correspondente Bancário,99
10285,47,1000.0,733,Financiamento Veicular,77095.39,SP,Adimplente,2023-03-29,Telefone,84
10286,59,5281.66,679,Consignado,16806.74,BA,Adimplente,2023-07-30,Agência,90
10287,52,7201.2,552,Consignado,26947.36,SP,Adimplente,2023-06-28,Agência,29
